flightnumber,radiocallsign,origin,destination,deptime,arrtime,gate,aircraft,route,created_at,updated_at
SU2193,AFL2193,EHAM,UUEE,2019-09-29 00:10:00,2019-09-29 04:25:00,G3,32B,ANDIK UN873 BEDUM UZ700 GITER Z700 CDA M611 KOLJA M864 TU,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1626,KLM1626,LIRQ,EHAM,2019-09-28 22:05:00,2019-09-29 00:10:00,D77,E90,LOMED DCT IBTOK DCT RESIA UP131 ARGAX UY170 ROMIR UN851 LOHRE Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
OR148,TFL148,LDPL,EHAM,2019-09-28 22:05:00,2019-09-29 00:15:00,D10,738,VRS P28 ABLAT DCT BARPI DCT ERKIR L608 KOGOL M726 ERNAS Y101 AMOSA DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5518,TRA5518,LCPH,EHAM,2019-09-29 20:00:00,2019-09-29 23:30:00,D57,73H,GENOS UM31 MAROS UM855 EKSEN UL610 FENER UT264 TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
SQ7393,SIA7393,OMSJ,WSSS,2019-09-29 13:45:00,2019-09-30 01:15:00,,744,IVURO M428 MUNGA A777 VAXIM P307 PARAR N571 GUNIP R467 VKL A464 ARAMA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5684,TRA4T,GCRR,EHAM,2019-10-29 20:10:00,2019-09-30 00:25:00,C16,738,KORAL UG5 SONSO UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6522,TRA6522,GCLP,EHAM,2019-10-29 20:00:00,2019-09-30 00:30:00,C18,73G,KORAL UG5 SONSO UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV274,TRA274,LTAI,EHAM,2019-09-28 22:11:07,2019-09-28 22:11:07,E8,738,EKSEN UL610 FENER UT264 TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6920,TRA920E,LGIR,EHAM,2019-10-29 22:40:00,2019-09-30 00:30:00,D63,738,EPALO UM749 DIRMI UL613 VJOSA DCT PAPIZ DCT AIOSA DCT XOLTA DCT LISKO DCT BUSER DCT TULIK DCT NIVAS DCT BRENO M726 ERNAS Y101 AMOSA DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6918,TRA96J,LIEO,EHAM,2019-09-29 10:10:00,2019-09-29 12:30:00,D85,73H,OKIVA UP872 AJO UM622 IRMAR UN853 IXILU UL47 EPL UM624 ROUSY UQ624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6150,TRA6150,LEAL,EHAM,2019-09-29 15:35:00,2019-09-29 18:20:00,D61,73H,SOPET UN608 GIROM UN863 AGN UL873 FOUCO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5672,TRA76P,LEIB,EHAM,2019-09-29 15:00:00,2019-09-29 17:35:00,D74,73H,EPAMA UN856 RES UN863 AGN UL873 FOUCO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5806,TRA85X,LGTS,EHAM,2019-09-29 21:45:00,2019-09-29 23:50:00,C11,73W,ODIKO UM987 MICPO UL863 EVIVI Y94 OGOTA N133 SODGO T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5628,TRA6B,LEPA,EHAM,2019-09-29 09:25:00,2019-09-29 12:00:00,D78,73H,GALAT UN861 FISTO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6672,TRA66A,GCTS,EHAM,2019-10-29 20:40:00,2019-09-30 01:10:00,C15,738,KORAL UG5 SONSO UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5804,TRA5804,LLBG,EHAM,2019-09-29 20:25:00,2019-09-30 00:25:00,E24,73H,MERVA UB17 LCA UA28 MUT UL619 KFK UL620 IST UA16 FENER UT264 TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5044,TRA42H,LGKO,EHAM,2019-09-29 12:05:00,2019-09-29 14:50:00,D82,73H,LARKI UL609 MES UG18 GIKAS UN133 ATFIR N133 SODGO T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5360,TRA36M,LPFR,EHAM,2019-09-29 19:40:00,2019-09-29 23:40:00,C13,73H,VFA R47 MINTA UN747 OSLEP UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV558,TRA558,HEMA,EHAM,2019-09-28 23:23:32,2019-09-28 23:23:32,E4,738,SIBRI V730 HGD M872 SEMRU A727 NOZ L617 TANSA UL613 VJOSA DCT PAPIZ DCT AIOSA DCT XOLTA DCT LISKO DCT BUSER DCT TULIK DCT NIVAS DCT BRENO M726 ERNAS Y101 AMOSA DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
OR286,TFL286,LGRP,EHAM,2019-09-28 22:55:00,2019-09-29 01:45:00,D60,763,BANRO UG80 IMR UN127 LMO UN128 PEREN UN133 ATFIR N133 SODGO T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
PC1256,PGT8SH,EHAM,LTFJ,2019-09-29 01:50:00,2019-09-29 06:25:00,G7,738,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UM19 IBODU,2019-09-04 13:31:36,2019-09-04 13:31:36
HV154,TRA154,LTFE,EHAM,2019-09-28 23:42:31,2019-09-28 23:42:31,E22,738,AKBUK UG80 IMR UN127 LMO UN128 PEREN UN133 ATFIR N133 SODGO T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6110,TRA16X,LEMG,EHAM,2019-09-29 12:55:00,2019-09-29 16:00:00,Z07,73H,BLN UN865 VTB UN867 DGO UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
CAI201,CAI1Z,LTFE,EHAM,2019-09-28 23:15:00,2019-09-29 01:55:00,G2,738,AKBUK UG80 IMR UN127 LMO UN128 PEREN UN133 ATFIR N133 SODGO T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6882,TRA12J,GMAD,EHAM,2019-09-29 18:40:00,2019-09-29 23:35:00,E5,73H,AGALI UR724 ESS UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
HV108,TRA108,DTNH,EHAM,2019-09-29 00:02:11,2019-09-29 00:02:11,E6,738,VAXAL UA411 TUC UM733 OSMAR DCT PIRIX DCT GIGGI DCT CORSI UM733 AJO UM622 IRMAR UN853 IXILU UL47 EPL UM624 ROUSY UQ624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5218,TRA2A,LICC,EHAM,2019-09-29 20:45:00,2019-09-29 23:55:00,D84,73H,LIBRO DCT ROSAS DCT DORAS DCT TURMO DCT MAMAR DCT BAKRO DCT DORAV DCT ASTIG DCT AOSTA UM729 MOLUS UN853 IXILU UL47 EPL UM624 ROUSY UQ624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5748,TRA5748,GMMN,EHAM,2019-09-29 13:45:00,2019-09-29 18:20:00,E20,73H,AGDAL UG5 KORIS UL27 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
CAI020,CAI020,EHAM,LTAI,2019-10-29 21:50:00,2019-09-30 01:50:00,G2,320,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UG80 ATVEP UL606 ULMAR UN739 EKI UT40 CRD UL854 SALDA UN131 KOZLU,2019-09-04 13:31:36,2019-09-04 13:31:36
SQ7393,SIA7393,OMSJ,WSSS,2019-09-29 13:45:00,2019-09-30 01:15:00,,744,IVURO M428 MUNGA A777 VAXIM P307 PARAR N571 GUNIP R467 VKL A464 ARAMA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV1833,TRA1833,EHAM,LGKO,2019-09-29 06:14:53,2019-09-29 06:14:53,D59,738,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 OVDOT M748 OSTOV N127 NIKTI UN127 LMO UL618 MES UL609 LARKI,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5807,TRA19T,EHAM,LGTS,2019-09-29 09:40:00,2019-09-29 13:30:00,,73H,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT XOLTA DCT AIOSA DCT PAPIZ DCT PINDO UM603 EDASI,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6341,TRA6341,EHAM,LEIB,2019-09-29 05:05:00,2019-09-29 07:40:00,D74,738,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UN855 PPG UP84 NENDA UN975 BCN UZ174 CORDA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV163,TRA163,EHAM,LTAI,2019-09-29 06:42:32,2019-09-29 06:42:32,E5,738,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UG80 ATVEP UL606 ULMAR UN739 EKI UT40 CRD UL854 SALDA UN131 KOZLU,2019-09-04 13:31:36,2019-09-04 13:31:36
HV1411,TRA1411,EHAM,LGIR,2019-09-29 08:30:54,2019-09-29 08:30:54,D71,738,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT RIVAM DCT PERAV DCT BRD DCT NOSTO UL612 TRL UJ65 BAVES,2019-09-04 13:31:36,2019-09-04 13:31:36
CZ455,CSN455,ZUCK,EHAM,2019-09-29 05:05:00,2019-09-29 07:50:00,,77L,SOSLI W550 GAO W26 JTG B330 XIXAN W565 DNC W622 BUKPU W197 ANDIM B215 IBANO G470 IPMUN W192 FKG A368 KRG A95 ATBAN G111 TITUR N985 RITOP L158 CW T638 MF MF7T AR FE4T BELAG A494 OPOKA M869 LEP M864 KOLJA M611 CDA Z701 GOBOT UZ701 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6223,TRA6223,EHAM,LEMG,2019-09-29 16:20:00,2019-09-29 19:20:00,D86,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC UM985 VIBAS,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5887,RA44H,EHAM,LGSA,2019-09-29 15:30:00,2019-09-29 20:00:00,D87,73H,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT RIVAM DCT PERAV DCT BRD DCT NOSTO UL612 TRL UJ65 SOKRI,2019-09-04 13:31:36,2019-09-04 13:31:36
OR197,TFL197,EHAM,LGKP,2019-09-29 05:35:00,2019-09-29 10:15:00,D66,738,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT XOLTA DCT AIOSA DCT PAPIZ DCT PINDO UL607 ATV UL995 KEA UN132 NIBOX DCT,2019-09-04 13:31:36,2019-09-04 13:31:36
OR783,TFL783,EHAM,LTAI,2019-09-29 07:33:45,2019-09-29 07:33:45,D4,763,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UG80 ATVEP UL606 ULMAR UN739 EKI UT40 CRD UL854 SALDA UN131 KOZLU,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5629,TRA97P,EHAM,LEPA,2019-09-29 12:45:00,2019-09-29 15:10:00,C11,738,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 NARAK UN859 LOMRA UN727 ROCAN UN13 LORES,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5791,TRA28P,EHAM,LGPZ,2019-09-29 06:40:00,2019-09-29 10:35:00,D63,73H,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT RIVAM DCT GARGA DCT ENOXA DCT TIGRA UL995 KRK UA14 MALED,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5131,TRA89A,EHAM,LEBL,2019-09-29 06:00:00,2019-09-29 08:10:00,D82,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 NARAK UN859 LOMRA UN727 ROCAN UN859 PUMAL,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5355,TRA43F,EHAM,LPFR,2019-09-29 06:40:00,2019-09-29 08:45:00,C13,73H,WOODY UN872 LESDO UM728 RESMI UN857 VAVIX UP181 NEA UN864 MONTO UN857 HIJ UM30 PIMUR UN747 NAPES Y135 TUPIX,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5041,TRA5U,EHAM,LGKO,2019-09-29 16:00:00,2019-09-29 20:30:00,C16,73H,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 OVDOT M748 OSTOV N127 NIKTI UN127 LMO UL618 MES UL609 LARKI,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5663,TRA36J,EHAM,GCLP,2019-09-29 06:30:00,2019-09-29 10:10:00,C14,738,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC UM985 MGA UN869 SLK UB11 PELAX UN869 RUSIK,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5799,TRA5799,EHAM,LLBG,2019-09-29 06:15:00,2019-09-29 11:50:00,D26,738,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UG80 ATVEP UL606 ULMAR UN739 EKI UW81 YAYLA UL854 KUDAK UW81 ESKIN UL854 KULAR UT39 TOMBI UA16 DASNI UM855 PEDER UA16 MAROS UG18 APLON UL609 LEDRA UG18 PIKOG UL609 SOLIN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6875,TRA6875,EHAM,LGIR,2019-09-29 16:30:00,2019-09-29 21:00:00,C4,738,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT RIVAM DCT PERAV DCT BRD DCT NOSTO UL612 TRL UJ65 BAVES,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6705,TRA4Q,EHAM,GCFV,2019-09-29 14:40:00,2019-09-29 18:10:00,D77,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC UM985 MGA UN869 SLK UB11 PELAX UN869 RUSIK,2019-09-04 13:31:36,2019-09-04 13:31:36
CZ451,CSN451,ZSPD,EHAM,2019-09-29 00:25:00,2019-09-29 05:20:00,,77F,SASAN W161 VMB A593 DALIM W142 YQG V31 LADIX B339 POLHO Y520 SERNA A822 LONKA R497 TODES B228 HMN N740 BUKET G72 AKADA A834 VESUR R902 AGBON G445 SPB B141 RANVA P863 KOTAM L990 MARIP Z701 GOBOT UZ701 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6143,TRA88B,EHAM,LEAL,2019-09-29 06:45:00,2019-09-29 09:25:00,D78,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5759,TRA52K,EHAM,GMMX,2019-09-29 15:25:00,2019-09-29 18:20:00,E8,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 BERUM UG850 OBOGA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6115,TRA20W,EHAM,LEMG,2019-09-29 06:50:00,2019-09-29 09:50:00,D84,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC UM985 VIBAS,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5215,TRA1A,EHAM,LICC,2019-09-29 07:05:00,2019-09-29 09:50:00,D81,73H,LOPIK UN852 GTQ UZ343 BEGAR UL15 RIPUS UN850 ODINA DCT DESIP DCT EKPAL DCT GINAR DCT TAQ DCT RIFFI DCT ENSOT DCT AMANO DCT PELEN Q789 UXUTA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6819,TRA85G,EHAM,LJLJ,2019-09-29 06:30:00,2019-09-29 08:15:00,C18,73W,EDUPO UZ738 MISGO UZ741 GMH UL603 UNKEN DCT LUMUS,2019-09-04 13:31:36,2019-09-04 13:31:36
OR755,TFL755,EHAM,LTAI,2019-09-29 06:35:00,2019-09-29 11:20:00,G9,320,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UG80 ATVEP UL606 ULMAR UN739 EKI UT40 CRD UL854 SALDA UN131 KOZLU,2019-09-04 13:31:36,2019-09-04 13:31:36
CX271,CPA271,VHHH,EHAM,2019-09-29 00:15:00,2019-09-29 06:40:00,G3,351,BEKOL A461 YIN G586 SJG B330 ELKAL W179 XYO B330 XIXAN W565 DNC W622 BUKPU W197 ANDIM B215 IBANO G470 IPMUN W192 FKG A368 KRG A95 ATBAN G111 TITUR N985 RITOP L158 CW T638 MF MF7T AR FE4T BELAG A494 OPOKA M869 LEP M864 KOLJA M611 CDA Z701 GOBOT UZ701 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6915,TRA6915,EHAM,LIEO,2019-09-29 07:45:00,2019-09-29 10:00:00,D85,73H,LOPIK UN852 GTQ UZ343 BEGAR UL15 RIPUS UN850 ODINA DCT MONEB DCT IDONA DCT SUNEV DCT BATOX,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1721,KLM1721,EHAM,EBBR,2019-09-29 06:45:00,2019-09-29 07:30:00,B32,E75,WOODY,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1105,KLM39V,EHAM,ESSA,2019-09-29 06:50:00,2019-09-29 08:50:00,D74,73H,ANDIK UN873 KEKIX UZ708 KUGAL Z708 BAVTA N873 ARS T317 ELTOK,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1351,KLM1351,EHAM,LKPR,2019-09-29 06:50:00,2019-09-29 08:20:00,B18,E90,ARNEM UL620 NOMKA DCT SODRO DCT OKG L984 OKL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1853,KLM1853,EHAM,EDDL,2019-09-29 06:50:00,2019-09-29 07:40:00,B24,E90,ARNEM T196 TEBRO,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1839,KLM1839,EHAM,LOWW,2019-09-29 06:50:00,2019-09-29 08:40:00,C9,73H,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 BUDEX,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1777,KLM81V,EHAM,EDDH,2019-09-29 06:55:00,2019-09-29 07:55:00,B36,E90,ANDIK UN873 GRONY UM105 EEL UN125 WSN UL23 HAM,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1925,KLM49W,EHAM,LSGG,2019-09-29 06:55:00,2019-09-29 08:20:00,B30,E90,LOPIK UN852 POGOL UZ24 LASAT UN852 MIRGU UZ24 SHARA UN852 TIRSO UZ24 ARPUS UN852 TORPA UZ24 AKITO,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1141,KLM1141,EHAM,ENGM,2019-09-29 06:55:00,2019-09-29 08:45:00,B16,E90,ANDIK UZ733 KONOM UZ704 AMADA Z704 PIPEX M609 RIPAM,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1821,KLM69H,EHAM,EDDT,2019-09-29 07:00:00,2019-09-29 08:20:00,C6,73J,ARNEM UP147 RKN UL980 DLE T207 BATEL,2019-09-04 13:31:36,2019-09-04 13:31:36
VK8404,FOO8404,EHAM,EGGW,2019-09-29 07:00:00,2019-09-29 07:10:00,D31,321,IDRID UM40 RINIS M40 IDESI,2019-09-04 13:31:36,2019-09-04 13:31:36
EJU7925,EJU73DE,EHAM,LFMN,2019-09-29 07:00:00,2019-09-29 09:00:00,M6,320,LOPIK UN852 POGOL UZ24 LASAT UN852 MIRGU UZ24 SHARA UN852 TIRSO UZ24 ARPUS UN852 TORPA UZ24 MOROK UN852 MILPA UM730 MEDAM Y24 VEVAR,2019-09-04 13:31:36,2019-09-04 13:31:36
LO270,LOT27M,EHAM,EPWA,2019-09-29 07:00:00,2019-09-29 09:00:00,B35,E95,ARNEM UP147 RKN UL980 DLE L986 EMBOX DCT MAG Z20 IDOBA Y210 ARSAP Y209 KELOD L980 ADVAB P150 BIMPA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1699,KLM61Z,EHAM,LEMD,2019-09-29 07:00:00,2019-09-29 09:35:00,C7,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 AGN UN995 PPN UN10 NOLSA UN857 ALEPO UN10 VASUM UN857 GARVU UN10 BANEV,2019-09-04 13:31:36,2019-09-04 13:31:36
TP669,TAP669,EHAM,LPPT,2019-09-29 07:00:00,2019-09-29 09:00:00,C10,320,WOODY UN872 LESDO UM728 RESMI UN857 VAVIX UP181 NEA UN864 MONTO UN857 HIJ UN10 SVL UM744 ROSAL UZ227 EXONA,2019-09-04 13:31:36,2019-09-04 13:31:36
OS378,AUA37M,EHAM,LOWW,2019-09-29 07:00:00,2019-09-29 08:55:00,B17,319,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 BUDEX,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1900,KLM26M,EDDV,EHAM,2019-09-29 06:00:00,2019-09-29 07:00:00,A4,E75,VAXEV Y348 OSN UL980 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
LX737,SWR71H,EHAM,LSZH,2019-09-29 07:00:00,2019-09-29 08:25:00,B13,320,LOPIK UN852 GTQ UT27 BLM,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1953,KLM47B,EHAM,LSZH,2019-09-29 07:05:00,2019-09-29 08:35:00,B26,73W,LOPIK UN852 GTQ UT27 BLM,2019-09-04 13:31:36,2019-09-04 13:31:36
OR797,TFL797,EHAM,LTBS,2019-09-29 07:05:00,2019-09-29 11:40:00,G5,763,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 ADORU UG80 ATVEP UL606 ULMAR UN739 EKI UW81 YAYLA UL854 KUDAK UW81 DEN UW87 LAVTA UT44 ATSAL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1720,KLM38D,EBBR,EHAM,2019-09-29 06:10:00,2019-09-29 07:05:00,B32,E90,HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
HV6609,TRA49W,EHAM,LOWI,2019-09-29 12:25:00,2019-09-29 13:55:00,D87,73W,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX,2019-09-04 13:31:36,2019-09-04 13:31:36
EJU8868,EJU94DN,EHAM,EGKK,2019-09-29 07:05:00,2019-09-29 07:20:00,H1,320,IDRID UL980 XAMAN L980 LOGAN L608 SUMUM Q63 ARREK Y4 TEBRA,2019-09-04 13:31:36,2019-09-04 13:31:36
EJU7991,EJU65FK,EHAM,LDDU,2019-09-29 07:05:00,2019-09-29 09:25:00,D22,320,EDUPO UZ738 RIDSU UL607 BEMKI Z999 XEBIX L607 ELMEM N606 OTRES T307 DIRAB DCT LAMPO DCT AGOMO DCT BUSER DCT LISKO DCT XOLTA DCT AIOSA P748 LOKRU,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1277,KLM1277,EHAM,EGPH,2019-09-29 08:00:00,2019-09-29 08:25:00,D23,73H,BERGI UL602 SUPUR UP1 GODOS M981 NATEB Y96 HAVEN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1340,KLM28K,EKBI,EHAM,2019-09-29 06:00:00,2019-09-29 07:10:00,C9,73H,MIKRO N873 TUSKA UN873 JUIST UP174 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1227,KLM11P,EHAM,LFPG,2019-09-29 07:15:00,2019-09-29 08:40:00,C5,E90,WOODY UN872 NIK UY131 MOPIL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1791,KLM45C,EHAM,EDDM,2019-09-29 07:15:00,2019-09-29 08:40:00,B28,E90,EDUPO UZ738 MISGO UZ741 GMH UL603 AKANU,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1597,KLM19U,EHAM,LIRF,2019-09-29 07:15:00,2019-09-29 09:30:00,D71,73W,LOPIK UN852 GTQ UZ343 BEGAR UL15 RIPUS UN850 ODINA DCT SRN DCT KALIK DCT GIPIX DCT XIBIL,2019-09-04 13:31:36,2019-09-04 13:31:36
