flightnumber,radiocallsign,origin,destination,deptime,arrtime,gate,aircraft,route,created_at,updated_at
HV5427,TRA427Q,EHAM,LIRP,2019-09-29 19:15:00,2019-09-29 21:10:00,D85,320,LOPIK UN852 GTQ UZ343 BEGAR UL15 RIPUS UN850 ODINA DCT SRN DCT ELBUK DCT OLKIS,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1746,KLM84B,ELLX,EHAM,2019-09-29 18:25:00,2019-09-29 19:35:00,A4,E75,DIK UM624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
EZY7009,GTOOO,EGGP,EHAM,2019-09-29 16:50:00,2019-09-29 19:20:00,H1,319,DESIG L603 LAMSO,2019-09-04 13:31:36,2019-09-04 13:31:36
FR2335,RYR9GL,EHAM,LEMG,2019-09-29 19:20:00,2019-09-29 22:20:00,M2,73H,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC UM985 VIBAS,2019-09-04 13:31:36,2019-09-04 13:31:36
OR623,TFL623,EHAM,LEPA,2019-09-29 19:20:00,2019-09-29 21:45:00,D61,320,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 NARAK UN859 LOMRA UN727 ROCAN UN13 LORES,2019-09-04 13:31:36,2019-09-04 13:31:36
DY4532,NAX2YW,EHAM,ESSA,2019-09-29 21:20:00,2019-09-29 23:20:00,D60,73H,ANDIK UN873 KEKIX UZ708 KUGAL Z708 BAVTA N873 ARS T317 ELTOK,2019-09-04 13:31:36,2019-09-04 13:31:36
EZY6168,EZY53TV,EHAM,EGGD,2019-09-29 19:05:00,2019-09-29 19:25:00,H6,320,IDRID UM40 RINIS M40 SABER L980 LAM L179 CPT,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1798,KLM50C,EDDM,EHAM,2019-09-29 17:50:00,2019-09-29 19:25:00,C15,73H,INPUD Y102 TENLO DCT TESDU Y102 ALIBU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
SK1556,SAS1556,EHAM,ESSA,2019-09-29 18:55:00,2019-09-29 21:00:00,C8,73W,ANDIK UN873 KEKIX UZ708 KUGAL Z708 BAVTA N873 ARS T317 ELTOK,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1190,KLM28F,ENBR,EHAM,2019-09-29 17:35:00,2019-09-29 19:25:00,D85,73H,TUXIL P603 RUMOG M185 ATNAK UM185 TIPAN N866 LARDI L74 TOPPA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5765,TRA5765,EHAM,LEGE,2019-09-29 19:25:00,2019-09-29 21:25:00,D87,738,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UN855 KANIG,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1268,KLM21B,LFML,EHAM,2019-09-29 17:20:00,2019-09-29 19:30:00,C13,73H,ETREK UM976 KOPOR UN874 VEKIN UN873 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1478,KLM60H,EGPF,EHAM,2019-09-29 16:55:00,2019-09-29 19:30:00,D52,73J,TLA N97 ROKAN M982 TOPPA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1336,KLM94L,EKYT,EHAM,2019-09-29 18:20:00,2019-09-29 19:45:00,A4,E90,DCT KEMEG P601 BAVTA N873 TUSKA UN873 JUIST UP174 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1696,KLM26V,LPPT,EHAM,2019-09-29 15:35:00,2019-09-29 19:35:00,C14,73H,NAKOS UZ4 BAROK UN873 GDV UN871 KORAL UG5 SONSO UN871 VJF UN10 HIJ UZ230 TLD UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1888,KLM70J,EDDN,EHAM,2019-09-29 18:10:00,2019-09-29 19:35:00,A4,E75,SULUS DCT DIMSU L604 RELBI UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1550,KLM74F,EGNM,EHAM,2019-09-29 17:20:00,2019-09-29 19:35:00,A8,E90,LAMIX L603 LAMSO,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1022,KLM55W,EGLL,EHAM,2019-09-29 17:10:00,2019-09-29 19:35:00,D3,73W,BPK Q295 BRAIN M197 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1614,KLM1614,LTFM,EHAM,2019-09-29 17:00:00,2019-09-29 19:35:00,E6,73W,TUDBU Q26 ETUBA T226 MOPUG DCT BEGLA DCT DITIS M174 OKG DCT ROBEL UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1592,KLM1592,LIPE,EHAM,2019-09-29 17:25:00,2019-09-29 19:35:00,A4,73W,LUMAV DCT IBUGO DCT UNIMI L12 MOGTI P66 KPT L608 TEDGO UN851 LOHRE Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1498,KLM98M,LEIB,EHAM,2019-09-29 19:49:47,2019-09-29 19:49:47,Z07,738,EPAMA UN856 RES UN863 AGN UL873 FOUCO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
SK553,SAS87L,EKCH,EHAM,2019-09-29 19:40:00,2019-09-29 21:05:00,C10,320,LANGO M611 DEGUL UN872 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1116,KLM82W,ESSA,EHAM,2019-09-29 17:30:00,2019-09-29 19:35:00,D77,73J,DKR N872 ELPAX Z703 ALS N872 DEMIR UN872 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1064,KLM72M,EGFF,EHAM,2019-09-29 17:15:00,2019-09-29 19:35:00,A8,E75,BCN UN864 DIKAS UL18 GAVGO UL9 CPT M197 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1674,KLM88T,LEBL,EHAM,2019-09-29 17:15:00,2019-09-29 19:35:00,Z02,73H,OKABI UN861 FISTO UY156 ADABI UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1876,KLM87H,EDDS,EHAM,2019-09-29 18:10:00,2019-09-29 19:35:00,A4,E90,OKIBA N851 RIMKI Z99 LOHRE Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1135,KLM1135,EHAM,EKCH,2019-09-29 18:55:00,2019-09-29 20:20:00,C7,E90,ANDIK UN873 JUIST UP729 DOSUR P729 TUDLO,2019-09-04 13:31:36,2019-09-04 13:31:36
MP6162,MPH6162,EGSS,EHAM,2019-09-29 18:25:00,2019-09-29 20:25:00,,74Y,CLN L620 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1688,KLM1688,LEBB,EHAM,2019-09-29 17:15:00,2019-09-29 19:15:00,A4,73W,BISKA UP87 MOKOR UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
LH999,DLH8A,EHAM,EDDF,2019-09-29 19:45:00,2019-09-29 20:50:00,B15,32A,EDUPO UZ738 COL T911 ROLIS,2019-09-04 13:31:36,2019-09-04 13:31:36
GJI68X,GJI68X,LOWW,EGSS,2019-09-29 18:47:44,2019-09-29 18:47:44,,GL5T,MEDIX DCT DEXIT UL850 LALIN L604 RODIS DCT IBAGA Y101 OSBIT UL984 LOHRE UL610 BATTY UL608 SUMUM L608 LOGAN,2019-09-04 13:31:36,2019-09-04 13:31:36
TP671,TAP671,EHAM,LPPT,2019-09-29 19:45:00,2019-09-29 21:45:00,B13,320,WOODY UN872 LESDO UM728 RESMI UN857 VAVIX UP181 NEA UN864 MONTO UN857 HIJ UN10 SVL UM744 ROSAL UZ227 EXONA,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1784,KLM96B,EDDH,EHAM,2019-09-29 18:35:00,2019-09-29 19:45:00,A4,73H,WSN UN125 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1772,KLM1772,EDDF,EHAM,2019-09-29 18:30:00,2019-09-29 19:45:00,B36,E75L,MARUN Y152 ARPEG Z850 HMM UL602 RKN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1170,KLM40E,EFHK,EHAM,2019-09-29 18:10:00,2019-09-29 19:45:00,D63,73W,NUNTO M6 ERNOV N872 DEMIR UN872 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1182,KLM1182,ESSL,EHAM,2019-09-29 16:30:00,2019-09-29 18:20:00,A4,E90,DCT ELPAX Z703 ALS N872 DEMIR UN872 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
OK619,CSA619,EHAM,LKPR,2019-09-29 19:45:00,2019-09-29 21:15:00,B35,738,ARNEM UL620 NOMKA DCT SODRO DCT OKG L984 OKL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1054,KLM48R,EGGD,EHAM,2019-09-29 17:35:00,2019-09-29 19:55:00,A8,73W,BCN UN864 DIKAS UL18 GAVGO UL9 CPT M197 REDFA,2019-09-04 13:31:36,2019-09-04 13:31:36
HV5193,TRA5193,EHAM,LFPO,2019-09-29 19:45:00,2019-09-29 21:05:00,D74,73H,WOODY UN872 NIK UY131 MOPIL,2019-09-04 13:31:36,2019-09-04 13:31:36
EZY7010,EZY7010,EHAM,EGGP,2019-09-29 19:50:00,2019-09-29 20:10:00,H1,319,BERGI UL602 SUPUR UL60 KOLAG L60 OTBED,2019-09-04 13:31:36,2019-09-04 13:31:36
VY8367,VLG83XL,EHAM,LEMG,2019-09-29 19:50:00,2019-09-29 22:55:00,B23,320,WOODY UN872 LESDO UM728 RESMI UN857 DIRMO UZ365 GUERE UN860 VLC UM985 VIBAS,2019-09-04 13:31:36,2019-09-04 13:31:36
XQ945,SXS5XT,EHAM,LTBJ,2019-09-29 20:15:00,2019-09-30 00:45:00,G4,73H,EDUPO UZ738 MISGO UZ741 GMH UL603 ESATI UL984 OSBIT UZ205 BARSU DCT EKSOS UZ205 LULAR Z205 ABUDO Z37 GIMBO DCT PESAT DCT INVED L606 OVDOT M748 OSTOV N127 NIKTI UN127 LMO UN128 ERESO UN127 RIKSO,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1704,KLM12H,LEMD,EHAM,2019-09-29 17:10:00,2019-09-29 19:50:00,D66,73H,RBO UN867 DGO UN858 VANAD UN874 BAMES UT191 PODEM UN873 BELDI UY473 LUMIL UY873 DENUT,2019-09-04 13:31:36,2019-09-04 13:31:36
AF1436,AFR73HR,LFST,EHAM,2019-09-29 18:30:00,2019-09-29 19:50:00,A4,ER4,GTQ UN852 DIK UM624 BUB UY28 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1348,KLM36S,EKBI,EHAM,2019-09-29 18:35:00,2019-09-29 19:50:00,C7,73H,MIKRO N873 TUSKA UN873 JUIST UP174 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1162,KLM1162,ESGG,EHAM,2019-09-29 18:15:00,2019-09-29 19:50:00,B28,E90,VADIN M852 ALS N872 DEMIR UN872 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1408,KLM76E,LFMT,EHAM,2019-09-29 16:25:00,2019-09-29 18:30:00,D86,E90,MEN UN871 ETREK UM976 KOPOR UN874 VEKIN UN873 HELEN,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1080,KLM1080,EGCC,EHAM,2019-09-29 17:30:00,2019-09-29 19:50:00,E4,73W,DESIG L603 LAMSO,2019-09-04 13:31:36,2019-09-04 13:31:36
KL1210,KLM99P,ENCN,EHAM,2019-09-29 18:15:00,2019-09-29 19:45:00,B20,E75,RASVI M609 BAVTA N873 TUSKA UN873 JUIST UP174 EEL,2019-09-04 13:31:36,2019-09-04 13:31:36
